Name,degree centrality,closeness centrality,betweenness centrality
TMEM140,0.000726348284002179,0.0,0.0
TMEM39B,0.0003631741420010895,0.0,0.0
TMCO6,0.0003631741420010895,0.0,0.0
SPG20,0.0005447612130016343,0.0,0.0
SIRT4,0.00018158707100054475,0.0,0.0
SLC19A2,0.00027238060650081714,0.0,0.0
SCRN3,0.00045396767750136187,0.0,0.0
SERPIND1,0.00045396767750136187,0.0,0.0
SEPP1,0.00045396767750136187,0.0,0.0
SERPINA6,0.00018158707100054475,0.0,0.0
RND1,0.00027238060650081714,0.0,0.0
RCBTB1,0.0003631741420010895,0.0,0.0
PNLIPRP1,0.00018158707100054475,0.0,0.0
PCNP,0.00045396767750136187,0.0,0.0
NUDT9,0.00027238060650081714,0.0,0.0
OPN1SW,0.00027238060650081714,0.0,0.0
ODAM,0.00027238060650081714,0.0,0.0
NSL1,0.0006355547485019066,0.0,0.0
NDUFA6,0.0006355547485019066,0.0,0.0
NEK7,0.0005447612130016343,0.0,0.0
NAT6,0.0006355547485019066,0.0,0.0
MPDU1,0.0009079353550027237,0.0,0.0
ALOX12P2,0.00027238060650081714,0.0,0.0
FBXO28,0.0005447612130016343,0.0,0.0
MANSC1,0.000726348284002179,0.0,0.0
MANBA,0.00027238060650081714,0.0,0.0
INO80D,0.0006355547485019066,0.0,0.0
HYAL3,0.0006355547485019066,0.0,0.0
FCHO1,0.0006355547485019066,0.0,0.0
FEM1B,0.0006355547485019066,0.0,0.0
AMBP,0.0010895224260032686,0.0,0.0
CEP68,0.0003631741420010895,0.0,0.0
EFCAB11,0.0009079353550027237,0.0,0.0
EXPH5,0.0003631741420010895,0.0,0.0
EFNA1,0.0012711094970038132,0.0,0.0
EPB41L2,0.0005447612130016343,0.0,0.0
CYP3A43,9.079353550027238e-05,0.0,0.0
CYP4F3,0.00018158707100054475,0.0,0.0
CLDN3,9.079353550027238e-05,0.0,0.0
CELA3A,0.00027238060650081714,0.0,0.0
CELA3B,0.00027238060650081714,0.0,0.0
CD46,0.00027238060650081714,0.0,0.0
BCAS1,0.00018158707100054475,0.0,0.0
APOL1,0.0003631741420010895,0.0,0.0
