Target,Source,p
CREB1,NR4A2,0.8
CREB1,NR3C1,0.8
CREB1,MOG,0.8
CREB1,MCAM,0.8
CREB1,LYN,0.8
CREB1,LDHA,0.8
CREB1,FLT1,0.8
CREB1,ERF,0.8
CREB1,CEBPB,0.8
CREB1,AREG,0.8
CREB1,AQP2,0.8
CREB1,UBE2I,0.8
CREB1,TPO,0.8
CREB1,CIITA,0.8
CREB1,CREBBP,0.8
CREB1,EP300,0.8
CREB1,GSK3B,0.8
CREB1,PRKACA,0.8
CREB1,PRKACB,0.8
CREB1,PRKACG,0.8
CREB1,PRKX,0.8
CREB1,TRH,0.8
CREB1,TSC22D3,0.8
CREB1,TPH1,0.8
CREB1,PTH,0.8
CREB1,VGF,0.8
CREB1,UGT8,0.8
CREB1,UCP1,0.8
CREB1,INHBA,0.8
CREB1,IL6,0.8
CREB1,IL5RA,0.8
CREB1,IL2,0.8
CREB1,IL1B,0.8
CREB1,IL10,0.8
CREB1,IGFBP1,0.8
CREB1,IFNGR1,0.8
CREB1,IFNG,0.8
CREB1,ID2,0.8
CREB1,ICAM1,0.8
CREB1,HTR2A,0.8
CREB1,HPGD,0.8
CREB1,HMOX1,0.8
CREB1,HLA-G,0.8
CREB1,HLA-DRA,0.8
CREB1,HLA-DQB1,0.8
CREB1,HLA-DOB,0.8
CREB1,HFE,0.8
CREB1,GSTP1,0.8
CREB1,GRM5,0.8
CREB1,GNRHR,0.8
CREB1,GNRH1,0.8
CREB1,GH2,0.8
CREB1,GDNF,0.8
CREB1,FOS,0.8
CREB1,FN1,0.8
CREB1,FLII,0.8
CREB1,FLI1,0.8
CREB1,FAS,0.8
CREB1,F3,0.8
CREB1,EXO1,0.8
CREB1,ETV3,0.8
CREB1,ETF1,0.8
CREB1,ERBB2,0.8
CREB1,ELN,0.8
CREB1,EGR1,0.8
CREB1,DRD1,0.8
CREB1,DLD,0.8
CREB1,DIO2,0.8
CREB1,DBH,0.8
CREB1,CYR61,0.8
CREB1,CYP27B1,0.8
CREB1,CYP19A1,0.8
CREB1,CYP11B2,0.8
CREB1,CYP11B1,0.8
CREB1,CYP11A1,0.8
CREB1,CXCR4,0.8
CREB1,CTF1,0.8
CREB1,CPT1A,0.8
CREB1,CIITA,0.8
CREB1,CHGA,0.8
CREB1,CGA,0.8
CREB1,CFTR,0.8
CREB1,CELSR1,0.8
CREB1,CDK5,0.8
CREB1,CDC37,0.8
CREB1,CD8A,0.8
CREB1,CD55,0.8
CREB1,CD4,0.8
CREB1,CCND1,0.8
CREB1,CCNA1,0.8
CREB1,CCL5,0.8
CREB1,CALCA,0.8
CREB1,BST1,0.8
