Name,degree centrality,closeness centrality,betweenness centrality
FGF13,0.001979186618144672,0.0,0.0
FGF2,0.00025537891847028025,0.0,0.0
FGF8,0.0008938262146459809,0.0,0.0
FGFBP1,0.00025537891847028025,0.0,0.0
FGFR1,0.0006384472961757006,0.0,0.0
FHL2,0.003702994317819064,0.3490000969958646,0.00010497333842921717
FOXA1,0.020111089829534568,0.3548793612189707,0.0001332564434938999
GADD45A,0.0014045840515865414,0.0,0.0
GADD45B,0.0014045840515865414,0.0,0.0
GADD45G,0.0015961182404392515,0.0,0.0
GATA3,0.022217965906914383,0.3822792522255566,0.00017873788893120812
GCK,0.0007022920257932707,0.0,0.0
GOT1,0.0007022920257932707,0.0,0.0
GSTP1,0.0010853604034986911,0.0,0.0
GTF2F1,0.002043031347762242,0.3597472116053114,5.034875268694302e-05
H3F3A,0.0017238076996743917,0.0,0.0
HES1,0.0035114601289663533,0.3155613587485522,5.900270691899857e-05
HMGCS1,0.0008938262146459809,0.0,0.0
HMGCS2,0.0005107578369405605,0.0,0.0
HNF1A,0.03019855710911064,0.3881264456149475,0.0006052352373467874
HNF1B,0.001021515673881121,0.32890092255130526,2.108075269777069e-06
HOXA1,0.0021707208069973822,0.2810322967323046,1.4382649033045988e-05
HOXA4,0.0011492051331162612,6.384472961757006e-05,1.4858007117183232e-07
HOXA7,0.0012768945923514012,0.2697095391985296,2.37760350482239e-06
HOXB4,0.0019153418885271018,0.36222316743333677,2.1084723428024018e-05
HOXC8,0.0019153418885271018,0.3352424901181912,8.226449067005291e-05
HOXD4,0.0011492051331162612,0.33501256685350383,8.256999130413217e-06
HSD11B1,0.0003830683777054204,0.0,0.0
HSD17B1,0.0005107578369405605,0.0,0.0
IBSP,0.00025537891847028025,0.0,0.0
ICAM1,0.0014684287812041115,0.0,0.0
IFNAR1,0.0007022920257932707,0.0,0.0
IGFBP5,0.00025537891847028025,0.0,0.0
IL6ST,0.0008938262146459809,0.0,0.0
INS,0.0010853604034986911,0.0,0.0
IRAK2,0.00025537891847028025,0.0,0.0
JUN,0.11817659452212219,0.4807620442361758,0.0037692705742231017
KAT5,0.007342143906020557,0.4004872237830075,0.0005148583343090362
KAT7,0.0033837706697312135,0.3057052735962681,3.666539842461638e-05
KCNH4,0.0010853604034986911,0.0,0.0
KCNH8,0.0006384472961757006,0.0,0.0
KHSRP,0.0014045840515865414,0.0003283443237475032,2.1600480124567424e-06
KLF5,0.0021707208069973822,0.33757378075869865,6.416495356711453e-06
KLK14,0.00025537891847028025,0.0,0.0
KLK15,0.0001915341888527102,0.0,0.0
KLK2,0.00012768945923514013,0.0,0.0
KLKB1,0.0003830683777054204,0.0,0.0
KRT19,0.0010853604034986911,0.0,0.0
LCP1,0.0006384472961757006,0.0,0.0
LIPA,0.0003830683777054204,0.0,0.0
LIPE,0.0003830683777054204,0.0,0.0
LPL,0.0014045840515865414,0.0,0.0
MAP4K2,0.0005746025665581306,0.0,0.0
MED1,0.003702994317819064,0.36581750905124816,0.0003060108764750402
MIF,0.02157951861073868,0.3504083649625803,0.00022747611400255032
MMP9,0.0016599629700568216,0.0,0.0
MUC1,0.001979186618144672,0.0,0.0
MUC4,0.00044691310732299046,0.0,0.0
MUC5AC,0.00025537891847028025,0.0,0.0
MYB,0.025027134010087465,0.42564649795089676,0.00038474041198309483
MYCN,0.0015322735108216816,0.34137055502960933,2.2476377241668106e-05
MYH6,0.0006384472961757006,0.0,0.0
NCOA1,0.007022920257932707,0.3954616289088393,0.00034565839591974435
NCOA2,0.004852199450935324,0.3817191224266962,0.00020797831202375456
NCOA3,0.005362957287875885,0.3809655458018714,0.00021921213829108837
NCOA4,0.0012768945923514012,0.3266738352787056,4.315623887546234e-06
NCOA6,0.004979888910170465,0.38465932533346747,0.0002791529367001196
NCOR1,0.006831386069079997,0.37043834354561533,0.00044757032293004365
NCOR2,0.007342143906020557,0.40403795446146723,0.0004932863893019932
NEDD9,0.0010853604034986911,0.0,0.0
NFKBIA,0.006256783502521866,0.33850953621471724,4.926201579365807e-05
NKX2-1,0.0025537891847028024,0.3293444374170536,8.592192271350354e-05
NOL3,0.0025537891847028024,0.0,0.0
NOX1,0.00012768945923514013,0.0,0.0
NR1H3,0.003128391751260933,0.3175228801546027,3.7123618799002636e-05
NRIP1,0.0047883547213177545,0.3725928762454897,0.00011491506944050801
NUDT6,0.0003192236480878503,0.0,0.0
PCK1,0.0009576709442635509,0.0,0.0
PDHA1,0.0008938262146459809,0.0,0.0
PGC,0.00025537891847028025,0.0,0.0
PIGR,0.0005107578369405605,0.0,0.0
PLAT,0.0006384472961757006,0.0,0.0
PLAU,0.001213049862733831,0.0,0.0
PML,0.006384472961757006,0.4123190805658344,0.0003397199051860138
PNRC1,0.0010853604034986911,0.0,0.0
POU1F1,0.0016599629700568216,0.3464013904851251,1.4327196910720946e-05
POU2F1,0.08931877673498052,0.4716946208054434,0.001793085976245727
PPARG,0.0676115686650067,0.437647450561395,0.0010517432876258027
PPARGC1A,0.004213752154759624,0.350982740412053,0.0002640237588254085
PPBP,0.0001915341888527102,0.0,0.0
PPP2R2C,0.0005746025665581306,0.0,0.0
PRKCA,0.0015961182404392515,0.0,0.0
PTGER2,0.0008938262146459809,0.0,0.0
PTGS1,0.0008938262146459809,0.0,0.0
PTGS2,0.0023622549958500923,0.0,0.0
PTHLH,0.0008938262146459809,0.0,0.0
RARA,0.014301219434335695,0.40940325679022477,0.0005989426555106917
RARB,0.004852199450935324,0.3765784028199572,2.4539296629994524e-05
RARG,0.006831386069079997,0.34358412854993586,3.433638615581781e-05
RARRES3,0.00025537891847028025,0.0,0.0
RELA,0.046478963161591,0.4535725246431078,0.0017298084647343834
RETN,0.0003830683777054204,0.0,0.0
RNF4,0.0015322735108216816,0.33366098884135126,0.00013499918117200365
IL2,0.0015961182404392515,0.0,0.0
S100A8,0.0007661367554108408,0.0,0.0
S100A9,0.0006384472961757006,0.0,0.0
SAT1,0.0010853604034986911,0.0,0.0
SCARB1,0.0006384472961757006,0.0,0.0
SCD,0.0013407393219689713,0.0,0.0
SCGB1D1,0.00025537891847028025,0.0,0.0
SEMA6B,0.0003830683777054204,0.0,0.0
SERPINE1,0.002426099725467662,0.0,0.0
SERPINF1,0.0003192236480878503,0.0,0.0
SFTPB,0.0003830683777054204,0.0,0.0
SLC10A2,0.0005746025665581306,0.0,0.0
SLC5A5,0.0005746025665581306,0.0,0.0
SMAD3,0.021898742258826532,0.4468302654007999,0.002537512481886742
SMARCA1,0.001021515673881121,0.20281057120939877,1.4316180995542285e-07
SMARCA2,0.0026814786439379426,0.3252057909965835,1.8572809286884043e-05
