cMaxDriver_L,cMaxDriver_B,cMaxDriver_C
HOXC8,BRD7,FMR1
POLR2A,PITX1,RFX4
FOXC1,MEIS1,HOXB8
XRCC6,POU2F2,ZFPM2
SMARCC1,TRIM29,NR3C2
AHR,PQBP1,TAF12
HDAC1,TSG101,ING4
MLX,TWIST1,NFE2L1
DDB1,SUB1,GTF2H1
GABPB1,TAF5,PPARGC1A
TAF10,PPARA,PROX1
MSX1,NR3C1,HEY2
MED31,HIST2H2BE,EDF1
ARID5B,NFE2,RBM14
NFIC,LMO3,IRF2
GTF2E2,SOS2,NRIP1
RBPJ,YAF2,TAF1A
ZBTB6,NCOA3,BATF3
POLR2G,NFIL3,XRCC5
LHX3,STAT1,CREG1
SMAD5,BACH2,TFDP1
NKX2-2,ISL1,SMURF2
CBFA2T2,POU3F1,ORC2
IRF1,EIF2AK2,SOX8
SNRPB,FOXF2,TLX2
HABP4,ZNF24,TCF7L1
MCM2,JUND,RFX3
NR2F1,EED,RING1
SAP30,MED23,TAF7
POLR2D,STAT4,ESRRG
WWP1,NR1H3,KLF13
GLI2,SAFB,L3MBTL1
TCF7,SKI,DBP
MAFF,SREBF2,CEBPG
SNIP1,SIX1,KDM5B
HOXB6,YTHDC1,ARID3A
HDAC5,SRF,NFYC
ATF3,SP3,HDAC4
AES,TSC22D3,LHX9
HNRNPK,RYBP,GTF2F2
YBX1,NKX6-1,RFC1
LMO4,PTTG1,TAF1C
NFATC3,BHLHE40,FOXH1
HOXB9,HOXC8,CITED4
HDAC2,POLR2A,POU1F1
NR4A1,FOXC1,BARD1
BRF1,XRCC6,SAFB2
PGR,SMARCC1,HBP1
NFYB,AHR,KHDRBS1
NFKB1,HDAC1,TLE3
VDR,MLX,SIX3
ATF6,IRF8,POLR3F
FXR2,DDB1,FOXD1
ATF7,GABPB1,RBM39
MAFG,TAF10,CEBPD
MEF2C,MSX1,E2F5
GTF3C1,MED31,ZMYND11
HSF2,SNAPC4,TP73
CDC5L,ARID5B,EPC1
FOSB,NFIC,ERCC6
POLR2C,GTF2E2,FOXD3
RUNX2,RBPJ,NR2C1
COIL,ZBTB6,MXI1
PKNOX1,POLR2G,HOXD10
SSRP1,RBBP7,MBD2
NFATC1,LHX3,HSF1
TAF15,SMAD5,CREB5
DRAP1,NKX2-2,SRRM1
MCM7,TOP2B,POLR2E
DACH1,CBFA2T2,HOXA7
SMARCA2,IRF1,PIAS2
NFATC4,SNRPB,NR2C2
NOTCH4,HABP4,ARNTL
ELF3,YEATS4,TCERG1
PER2,MCM2,MAML1
NEUROD1,SAP30,NMI
NFKBIA,BIN1,POLR2H
MXD1,IFI16,TAF6
PA2G4,POLR2D,HOXA1
CHAF1A,WWP1,RERE
TARBP2,GLI2,NR5A2
